(114, 0) U (35, 50) D
(26, 99) D (123, 149) U
(114, 149) D (35, 99) U
(33, 99) D (116, 149) U
(100, 139) L (60, 99) U
(70, 99) D (100, 129) R
(100, 139) L (60, 99) U
(32, 50) U (117, 0) D
(100, 24) L (74, 50) D
(149, 33) R (199, 116) L
(199, 117) R (149, 32) L
(149, 32) R (199, 117) L
(181, 100) U (149, 68) L
(149, 57) R (192, 100) D
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(198, 100) U (149, 51) L
(180, 100) U (149, 69) L
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 70) R (179, 100) D
(149, 60) R (189, 100) D
(185, 100) U (149, 64) L
(100, 102) L (97, 99) U
(100, 139) L (60, 99) U
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(74, 50) U (100, 24) R
(100, 24) L (74, 50) D
(74, 50) U (100, 24) R
(100, 24) L (74, 50) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(18, 50) U (131, 0) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 72) R (177, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 82) R (167, 100) D
(149, 90) R (159, 100) D
(149, 86) R (163, 100) D
(149, 53) R (196, 100) D
(199, 114) R (149, 35) L
(100, 26) L (76, 50) D
(76, 50) U (100, 26) R
(100, 30) L (80, 50) D
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(51, 50) U (100, 1) R
(56, 50) U (100, 6) R
(106, 0) U (43, 50) D
(41, 50) U (108, 0) D
(131, 0) U (18, 50) D
(32, 50) U (117, 0) D
(149, 17) R (199, 132) L
(194, 149) D (0, 55) R
(3, 50) U (146, 0) D
(149, 1) R (199, 148) L
(194, 149) D (0, 55) R
(18, 50) U (131, 0) D
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
